Time;/Nodes/Agadyr_F/u220/archivesS/u_n_ras
2023-01-03 06:50:01;232.739
2023-01-03 06:50:02;232.739
2023-01-03 06:50:03;232.739
2023-01-03 06:50:04;232.739
2023-01-03 06:50:05;232.739
2023-01-03 06:50:06;232.739
2023-01-03 06:50:07;232.739
2023-01-03 06:50:08;232.739
2023-01-03 06:50:09;232.739
2023-01-03 06:50:10;232.739
2023-01-03 06:50:11;232.739
2023-01-03 06:50:12;232.739
2023-01-03 06:50:13;232.739
2023-01-03 06:50:14;232.739
2023-01-03 06:50:15;232.739
2023-01-03 06:50:16;232.739
2023-01-03 06:50:17;232.739
2023-01-03 06:50:18;232.739
2023-01-03 06:50:19;232.739
2023-01-03 06:50:20;232.739
2023-01-03 06:50:21;232.739
2023-01-03 06:50:22;232.739
2023-01-03 06:50:23;232.739
2023-01-03 06:50:24;232.739
2023-01-03 06:50:25;232.739
2023-01-03 06:50:26;232.739
2023-01-03 06:50:27;232.739
2023-01-03 06:50:28;232.739
2023-01-03 06:50:29;232.739
2023-01-03 06:50:30;232.739
2023-01-03 06:50:31;232.739
2023-01-03 06:50:32;232.739
2023-01-03 06:50:33;232.739
2023-01-03 06:50:34;232.739
2023-01-03 06:50:35;232.739
2023-01-03 06:50:36;232.739
2023-01-03 06:50:37;232.739
2023-01-03 06:50:38;232.739
2023-01-03 06:50:39;232.739
2023-01-03 06:50:40;232.739
2023-01-03 06:50:41;232.739
2023-01-03 06:50:42;232.739
2023-01-03 06:50:43;232.739
2023-01-03 06:50:44;232.739
2023-01-03 06:50:45;232.739
2023-01-03 06:50:46;232.739
2023-01-03 06:50:47;232.739
2023-01-03 06:50:48;232.739
2023-01-03 06:50:49;232.739
2023-01-03 06:50:50;232.739
2023-01-03 06:50:51;232.739
2023-01-03 06:50:52;232.739
2023-01-03 06:50:53;232.739
2023-01-03 06:50:54;232.739
2023-01-03 06:50:55;232.739
2023-01-03 06:50:56;232.739
2023-01-03 06:50:57;232.739
2023-01-03 06:50:58;232.739
2023-01-03 06:50:59;232.739
2023-01-03 06:51:00;232.739
2023-01-03 06:51:01;232.739
2023-01-03 06:51:02;232.739
2023-01-03 06:51:03;232.739
2023-01-03 06:51:04;232.739
2023-01-03 06:51:05;232.739
2023-01-03 06:51:06;231.887554
2023-01-03 06:51:07;231.853
2023-01-03 06:51:08;231.853
2023-01-03 06:51:09;231.853
2023-01-03 06:51:10;231.853
2023-01-03 06:51:11;231.853
2023-01-03 06:51:12;231.853
